Subject;Start Date;Start Time;End Date;End Time;Location;Description
Gelber-Sack;09/11/2023;00:00:00;10/11/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;15/11/2023;00:00:00;16/11/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;21/11/2023;00:00:00;22/11/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;22/11/2023;00:00:00;23/11/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;23/11/2023;00:00:00;24/11/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;29/11/2023;00:00:00;30/11/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Papiertonne;01/12/2023;00:00:00;02/12/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
Restmüll;05/12/2023;00:00:00;06/12/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;06/12/2023;00:00:00;07/12/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;07/12/2023;00:00:00;08/12/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;13/12/2023;00:00:00;14/12/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;19/12/2023;00:00:00;20/12/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;20/12/2023;00:00:00;21/12/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;21/12/2023;00:00:00;22/12/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Papiertonne;29/12/2023;00:00:00;30/12/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
